year;strate;longitude;latitude;dtow;depth;temperature;totconsum;sediment;invertebrate;starfish;urchin
2003;401;-62,99;46,48;1,75;29;8,4;0,013488987;4;2,605;1;1
2003;401;-63,27;46,54;1,76;30;9;0,483484015;3;1,975;1;0
2004;401;-63,8;46,76;1,76;30;8,3;1,281124799;3;3,929;1;1
2004;401;-62,78;46,5;1,71;28;11,5;0,037512119;4;4,104;1;1
2004;401;-62,43;46,52;1,77;34;12,6;0,170902824;4;3,49;1;1
2005;401;-62;46,53;1,76;37;3,7;0,016110229;4;0,664;1;1
2005;401;-63,62;46,67;1,41;30;4;0,145747837;3;5,519;1;1
2005;401;-63,78;46,71;1,3;27;5,1;0,710947861;3;5,804;1;1
2003;402;-63,16;46,07;1,7;16;16;0,020538638;4;0,34;1;0
2004;402;-63,4;46,1;1,81;15;17,2;0,019679934;1;0,345;1;0
2004;402;-63,33;45,93;1,73;18;16,4;0,01050639;1;0,001;1;0
2004;402;-63,31;45,93;1,76;22;16,8;0,008015971;1;0,03;1;0
2004;402;-63,39;46,11;1,76;17;14,9;0,007743318;4;0,001;1;0
2004;402;-63,46;46,02;1,76;21;17,6;0,048556716;1;0;0;0
2005;402;-63,23;46,03;1,78;20;14,9;0,021764921;1;0;0;0
2005;402;-63,46;45,99;1,78;22;15;0,039335161;1;0,005;0;0
2003;403;-61,63;45,74;1,73;30;11,3;0,034887491;1;0,119;1;0
2003;403;-61,69;45,91;1,75;40;8,1;1,903164904;1;1,175;1;0
2004;403;-61,83;45,83;1,76;27;18,2;0,926225668;1;0;0;0
2004;403;-61,74;45,8;1,09;32;17,9;1,390232244;1;0,025;1;0
2004;403;-61,63;45,96;1,77;36;16,2;1,792751825;3;0,682;1;0
2004;403;-61,8;45,8;1,77;29;18;0,614083111;1;0,379;1;0
2004;403;-61,63;45,75;1,76;31;14;2,213704956;1;0,019;1;0
2004;403;-61,72;45,84;1,76;36;12,1;2,379093887;1;0,102;1;0
2005;403;-61,76;45,69;1,79;23;19,9;0,84327107;4;1,175;1;1
2005;403;-61,78;45,79;1,79;25;19,5;0,034965846;1;0,194;1;1
2005;403;-61,86;45,77;1,76;24;10,1;0,207986448;4;0,04;1;0
2003;415;-63,75;48,91;1,8;297;5,4;0,401660244;1;0,912;0;0
2003;415;-63,44;48,82;1,75;252;5,1;0,160081262;1;2,216;0;0
2003;415;-63,2;48,77;1,76;311;5,4;0,070833071;1;22,357;0;0
2004;415;-63,63;48,85;1,75;255;5,2;0,253190168;1;20,305;0;1
2004;415;-63,76;48,88;1,74;256;5,3;0,142050204;1;37,255;0;0
2004;415;-64,22;48,98;1,73;209;4,3;0,302382899;1;1,7;0;0
2004;415;-63,69;48,8;1,78;187;4,1;0,063436133;5;2,999;1;0
2004;415;-63,76;48,89;1,75;270;;0,166005875;1;6,161;1;0
2004;415;-64,01;49,01;1,77;293;;0,044745539;1;0,752;0;1
2004;415;-63,64;48,86;1,76;262;;0,104174244;1;15,7;0;0
2004;415;-63,45;48,93;1,78;334;;0,077639289;1;0,485;0;0
2004;415;-63,14;48,66;1,71;276;5,4;0,183858659;1;1,215;0;0
2005;415;-63,94;48,93;1,75;265;5,2;0,33580444;1;5,125;1;1
2005;415;-63,71;48,89;1,75;289;5;0,498365389;1;2,155;1;0
2005;415;-63,67;48,85;1,75;253;4,4;0,250610601;1;11,27;1;0
2005;415;-63,45;48,82;1,8;245;4,5;0,179954702;1;15,506;1;0
2005;415;-63,21;48,76;1,77;300;5,5;0,064089658;1;16,841;0;0
2003;416;-64,05;48,56;1,77;107;0,6;0,00265509;1;1,875;0;1
2003;416;-63,64;48,43;1,42;123;1,3;0,011008218;3;1,608;0;0
2003;416;-63,78;48,72;1,21;158;3,5;0,096048559;5;2,08;0;0
2004;416;-63,7;48,37;1,71;102;1,3;0,011502223;3;23,452;1;1
2004;416;-63,61;48,46;1,72;132;1,9;0,061005248;3;2,595;0;1
2004;416;-63,84;48,64;1,76;152;2,3;0,053885092;3;0,45;0;1
2004;416;-63,88;48,45;1,72;93;1,4;0,008993986;1;21,273;1;1
2004;416;-63,69;48,04;1,86;95;11,2;0,118631896;1;0,709;0;0
2004;416;-64,03;48,47;1,76;105;1,3;0,008766209;1;4,3;1;1
2004;416;-63,89;48,45;1,82;96;1,4;0,00552648;1;19,771;1;1
2004;416;-63,86;48,63;1,74;150;2,3;0,019727461;3;2,069;1;1
2004;416;-63,53;48,64;1,77;158;3,3;0,040853598;5;4,086;1;0
2004;416;-63,56;48,48;1,82;125;1,8;0,033220163;3;2,434;1;0
2004;416;-63,66;48,4;1,76;108;0,7;0,012428123;3;11,651;1;1
2004;416;-63,38;48,22;1,81;102;0,2;0,004995415;2;0,608;1;1
2005;416;-63,94;48,31;1,5;98;1,1;0,00724645;3;10,946;1;1
2005;416;-64,09;48,53;1,8;104;1,1;0,008963739;1;0,247;0;0
2005;416;-63,99;48,53;1,68;117;1,7;0,007381975;1;6,528;1;1
2005;416;-63,77;48,42;1,7;122;1,4;0,014963798;3;4,938;0;1
2005;416;-63,56;48,27;1,76;95;0,5;0,012840847;3;9,902;0;1
2005;416;-63,55;48,44;1,78;110;1,3;0,045433485;3;5,782;0;1
2005;416;-63,59;48,58;1,22;122;1,6;0,047537548;3;3,342;1;1
2005;416;-63,81;48,67;1,76;144;2,3;0,033895054;3;2,398;1;1
2003;417;-64,44;48,2;1,76;95;0,3;0,026661203;1;0,37;1;0
2003;417;-64,08;48,32;1,45;80;0,2;0;3;8,64;1;1
2004;417;-64,09;48,41;1,72;74;0,8;0,001179726;3;12,33;1;1
2004;417;-63,94;48,17;1,69;57;0,7;0,008577733;3;29,574;1;1
2004;417;-64,28;48,18;1,14;45;1,4;0,001278024;3;12,755;1;1
2004;417;-63,93;48,14;1,75;66;;0,010398042;3;17,086;1;1
2004;417;-64,49;48,3;1,78;104;0,4;0,027929997;1;0,158;0;1
2004;417;-64,11;48,43;1,77;74;2,1;0,007359489;3;9,43;1;1
2004;417;-63,88;48,28;1,79;76;0,9;0,008400205;3;26,772;0;1
2005;417;-64,27;48,18;1,83;44;2,1;0,018746952;3;26,798;1;1
2005;417;-63,88;48,28;1,75;79;0,7;0,018274785;3;9,696;1;1
2005;417;-64,07;48,23;1,8;63;0,7;0,014645105;3;23,465;0;1
2005;417;-64,54;48,26;1,8;99;0,4;0,048019928;1;1,204;0;1
2003;418;-64,74;48,09;1,81;84;0,3;0,018393515;1;0,325;0;1
2003;418;-64,95;47,88;1,81;40;2,5;0,066842073;1;15,905;1;1
2004;418;-64,79;48,1;1,73;82;0,4;0,046318298;1;8,608;1;1
2004;418;-64,9;47,92;1,69;46;0,4;0,012551879;1;20,297;1;1
2004;418;-64,74;48,04;1,77;79;0,4;0,034466933;1;1,62;1;1
2004;418;-64,41;48,15;1,77;55;0,4;0,009000811;3;6,5;1;1
2004;418;-64,87;47,94;1,76;59;0,7;0,041989473;1;2,72;1;1
2004;418;-65,05;48,01;1,76;81;0,3;0,014128022;1;14,625;1;1
2004;418;-64,81;48,08;1,71;80;0,4;0,025983381;1;1,701;1;1
2005;418;-64,7;48,16;1,75;87;0,4;0,027132185;1;1,125;0;1
2005;418;-65,07;47,89;1,8;66;0,7;0,029468661;1;0,912;1;1
2005;418;-64,87;47,97;1,8;64;0,4;0,024104961;1;6,458;1;1
2003;419;-65,42;47,8;1,75;49;0,8;0,030351715;1;2,55;1;1
2003;419;-65,7;47,94;1,77;37;2,7;0,04983618;2;6,868;1;1
2004;419;-65,39;47,89;1,76;60;0,3;0,053407587;1;2,065;1;1
2004;419;-65,76;47,96;1,72;32;1,8;0,041747488;2;15,415;1;0
2004;419;-65,59;47,85;1,76;39;1,3;0,055218212;1;11,161;1;1
2004;419;-65,36;47,89;1,82;64;0,4;0,038252361;1;0,233;1;1
2004;419;-65,55;47,99;1,81;34;4,1;0,146275828;2;12,12;1;0
2004;419;-65,81;47,98;1,83;33;4,7;0,031605778;2;3,763;1;1
2004;419;-65,24;47,97;1,76;61;0,7;0,005289016;1;25,117;1;1
2005;419;-65,8;48,06;1,8;31;6,7;0,040253865;2;10,744;1;1
2005;419;-65,62;47,77;1,77;25;8,2;1,087260096;2;2,931;1;0
2005;419;-65,49;47,9;1,8;55;1;0,035849909;1;1,446;1;1
2003;420;-64,52;47,18;1,73;33;8,9;0,350124667;3;10,888;1;1
